Trait ,Surah name ,Number ,Verse number
Leadership,Surah Al-Ma'idah,5,3
Leadership,Surah Al-Ma'idah,5,55
Leadership,Surah Al-Ma'idah,5,67
Leadership,Surah Al-A’raf,7,181
Leadership,"Surah Ar-Ra’d,",13,7
Leadership,Surah Al-Ahzaab,33,33
Leadership,Surah Al-Najm,53,1
Leadership,Surah Al-Najm,53,2
Leadership,Surah Al-Najm,53,3
Leadership,Surah Al-Najm,53,4
Generosity,Surah Al-Baqrah,2,274
Generosity,Surah At-Tawbah,9,79
Generosity,Surah Al-Muminoon,23,4
Generosity,Surah Al-Ahzaab,33,35
Generosity,Surah An Noor,24,37
Devotion,Surah Al-Baqara,2,156
Devotion,Surah Al-Baqara,2,157
Devotion,Surah Al-Baqara,2,207
Devotion,Surah Aal-Imran,3,61
Devotion,Surah Aal-Imran,3,145
Devotion,Surah Aal-Imran,3,146
Devotion,Surah Aal-Imran,3,147
Devotion,Surah Aal-Imran,3,148
Devotion,Surah Aal-Imran,3,173
Devotion,Surah Al-Mai’dah,5,54
Kindness and Love,Surah Al-Hashr,59,9
Kindness and Love,Surah Al-Nahl,16,90
Kindness and Love,Surah Al-Insaan,76,8
Spirituality,Surah Az-Zumar,39,33
Spirituality,Surah Ash-Shura,42,1
Spirituality,Surah Aal-Imran,3,103
Spirituality,Surah An-Nisa,4,83
Spirituality,Surah Al-Anaam,6,153
Spirituality,Surah Al-A’raf,7,44
Spirituality,Surah Al-A’raf,7,46
Spirituality,Surah Al-A’raf,7,157
Spirituality,Surah Al-Anfaal,8,11
Spirituality,Surah Al-Anfaal,8,62
